Majority protein IDs,Protein ID,logFC,Foldchange,PValue,FDR,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
M0RBJ7;M0RBF1;P01026,M0RBJ7,33.26173958,10298674251,7.87E-31,2.12E-27,C3,0,0,0,0,0,0,1222300000,1131500000,1349500000,1397100000,1329300000,1285940000,0,0,0,0,0,0,65,55,68,76,81,69
P09034,P09034,32.31845151,5355787261,2.50E-30,3.19E-27,Ass1,0,0,0,0,0,0,687410000,557330000,755830000,657790000,683930000,668458000,0,0,0,0,0,0,32,40,37,35,39,36.6
Q5U2Z4,Q5U2Z4,32.02943084,4383484012,3.56E-30,3.19E-27,Nfkb2,0,0,0,0,0,0,501320000,539340000,555500000,607560000,534260000,547596000,0,0,0,0,0,0,32,27,28,32,28,29.4
F1LW83;M0R672,F1LW83,31.48027543,2995761093,6.97E-30,3.75E-27,Mpa2l;LOC498435,0,0,0,0,0,0,431270000,4.48E+08,333110000,348700000,309540000,374124000,0,0,0,0,0,0,21,20,28,32,20,24.2
Q9JKB7;Q9WTT6,Q9JKB7,31.58746398,3226815578,6.11E-30,3.75E-27,Gda,0,0,0,0,0,0,365870000,370510000,472330000,414340000,392070000,403024000,0,0,0,0,0,0,35,28,34,27,29,30.6
A0A0G2K6J0;Q7TP88;Q4V8K1,A0A0G2K6J0,31.19835559,2464000820,9.84E-30,3.79E-27,Steap4,0,0,0,0,0,0,310760000,318400000,304210000,304370000,300500000,307648000,0,0,0,0,0,0,22,26,18,21,15,20.4
D3ZYQ3,D3ZYQ3,31.27342551,2595608249,8.97E-30,3.79E-27,Tnfaip2,0,0,0,0,0,0,307800000,343930000,304510000,315550000,348140000,323986000,0,0,0,0,0,0,17,20,22,19,19,19.4
D3ZV82,D3ZV82,30.16656304,1205147880,3.48E-29,7.14E-27,LOC685067,0,0,0,0,0,0,176700000,162360000,143290000,106910000,161940000,150240000,0,0,0,0,0,0,18,15,11,14,13,14.2
E9PT22,E9PT22,30.0738352,1130124994,3.90E-29,7.14E-27,NA,0,0,0,0,0,0,150810000,145580000,141030000,137190000,130920000,141106000,0,0,0,0,0,0,18,9,14,17,15,14.6
F1M9F6;B5DF73,F1M9F6,29.9553623,1041028414,4.51E-29,7.14E-27,Gbp5,0,0,0,0,0,0,165750000,142050000,121270000,99910000,120270000,129850000,0,0,0,0,0,0,13,12,15,11,12,12.6
